split,label,class_count,total_images,class_percentage
test,0,1338,7180.0,18.64
test,1,847,7180.0,11.8
test,2,339,7180.0,4.72
test,3,634,7180.0,8.83
test,4,1035,7180.0,14.42
test,5,592,7180.0,8.25
test,6,741,7180.0,10.32
test,7,421,7180.0,5.86
test,8,1233,7180.0,17.17
train,0,9366,89996.0,10.41
train,1,9509,89996.0,10.57
train,2,10360,89996.0,11.51
train,3,10401,89996.0,11.56
train,4,8006,89996.0,8.9
train,5,12182,89996.0,13.54
train,6,7886,89996.0,8.76
train,7,9401,89996.0,10.45
train,8,12885,89996.0,14.32
val,0,1041,10004.0,10.41
val,1,1057,10004.0,10.57
val,2,1152,10004.0,11.52
val,3,1156,10004.0,11.56
val,4,890,10004.0,8.9
val,5,1354,10004.0,13.53
val,6,877,10004.0,8.77
val,7,1045,10004.0,10.45
val,8,1432,10004.0,14.31
