split,label,image_count,avg_mean_intensity,avg_pixel_std,min_mean_intensity,max_mean_intensity
test,0,1338,216.699,28.636,173.414,240.903
test,1,847,112.177,25.076,68.126,129.441
test,2,339,165.0,53.7,127.682,195.449
test,3,634,162.713,34.066,116.024,216.649
test,4,1035,177.389,26.879,136.392,218.74
test,5,592,160.263,37.377,134.626,182.866
test,6,741,167.679,42.321,129.765,213.091
test,7,421,164.089,34.628,133.194,198.829
test,8,1233,151.924,43.75,113.435,218.702
train,0,9366,207.608,22.936,137.715,235.716
train,1,9509,142.268,23.878,7.398,238.684
train,2,10360,165.076,36.514,75.822,244.148
train,3,10401,156.927,34.17,122.945,203.822
train,4,8006,180.912,31.926,90.439,236.58
train,5,12182,172.785,37.062,112.159,242.523
train,6,7886,165.693,38.272,118.966,237.567
train,7,9401,171.185,32.802,124.758,210.875
train,8,12885,157.743,38.197,114.123,234.461
val,0,1041,207.582,22.844,174.709,231.039
val,1,1057,144.025,23.775,65.82,238.273
val,2,1152,164.715,36.568,101.017,234.859
val,3,1156,156.884,34.258,126.698,210.805
val,4,890,181.047,32.121,115.705,219.372
val,5,1354,173.106,37.121,129.429,242.207
val,6,877,165.939,38.466,116.636,215.679
val,7,1045,171.286,32.81,132.476,205.072
val,8,1432,158.309,38.045,119.571,214.462
